title	notes	tags	securityLevel	contentsHash	htmlName	htmlMethod	htmlAction	htmlID	username	password	URL/Location	port	database_type	hostname	database	reminderq	lastname	zip	birthdate_dd	company	firstname	birthdate_mm	country	sex	address1	cellphone_local	aim	city	jobtitle	state	occupation	department	busphone_local	birthdate_yy	email	homephone_local	address2	defphone_local	remindera	skype	path	server	cashLimit	expiry_mm	type	expiry_yy	cardholder	creditLimit	bank	pin	ccnum	website	interest	cvv	phoneTollFree	member_name	renewal_date_yy	renewal_date_dd	idisk_storage	renewal_date_mm	forumsig	publisher_name	reg_name	publisher_website	reg_email	download_link	product_version	support_email	reg_code	product_name	retail_price
Hulu			SL5	af8ce513	login-form	get	https://secure.hulu.com/account/authenticate		wendy@appleseed.com	frirp7i1ob7wig4d	http://www.hulu.com/																																																												
Orders	Sample database account.		SL5	cb076163					orders_app	tgOhmpU9HgC5Hz		3066	mysql	10.0.1.50	orders_production																																																								
Personal			SL5	d64a5855					WendyAppleseed							What's your favorite application?	Appleseed	L4G8A3	19	AgileBits	Wendy	5	ca	female	5-150 Hollidge Blvd	(555) 555-1234	WendyAppleseed76	Aurora	Manager	Ontario	Customer Relations	Customer Care		1981	wendy@appleseed.com	(555) 555-4321	Suite 150	(555) 555-4321	1Password	WendyAppleseed																															
Skype			SL5	1ecb1e0b		post	https://secure.skype.com/account/login	signInForm	WendyAppleseed	dej3ur9unsh5ian1and5	https://secure.skype.com/account/login?message=login_required																																																												
YouTube			SL5	9553acd0	loginForm	post		loginForm	wendy@appleseed.com	snaip5uc5keds7as5ocs	http://www.youtube.com/login?next=/index																																																												
			SL5	fe62a730																																																																			
Dropbox			SL5	a31cc1cc		post	https://www.getdropbox.com/login		wendy@appleseed.com	vet4juf4nim1ow6ay2ph	https://www.getdropbox.com/																																																												
Company's FTP	Sample FTP account.		SL5	9cfff2cb					admin	auj7r5?u61ww																															/home/product/secert	ftp.dreamhost.com																													
Tumblr			SL5	502ad5a4		post	/login	account_form	wendy@appleseed.com	vow6wem2wo	http://www.tumblr.com/login																																																												
Last.fm			SL5	b6d4d943		post	/login/		WendyAppleseed	dowg1af5kam7oak9at	https://www.last.fm/login																																																												
The Unofficial Apple Weblog			SL3	77a09179		post	http://digg.com/login/prepare/digg		WendyAppleseed	tiac1nut2jab1eiv2oc5	http://www.tuaw.com																																																												
CapitalOne MasterCard ***3456	Sample data, not a real credit card number.		SL5	35a0ecf2																																							$2,000	11	mc	2014	Wendy Appleseed	$8,000	CapitalOne	234	1234 5678 9012 3456	capitalone.com	19.8%	123	1-888-888-8888																
Chase VISA ***4356	Sample data, not a real credit card number.		SL5	27f1a676																																							$1,000.00	5	visa	2019	Wendy Appleseed	$5,000.00	Chase	000	1234 5678 9012 4356	www.chase.com	29.9%	543	1-888-888-8888																
Bank of America			SL5	3e314205	SiteSearchForm	post	/search/Search.do		WendyAppleseed	speg5nu5di1mol4niev9	https://www.bankofamerica.com/																																																												
MobileMe	Sample MobileMe account.		SL5	8b685ef1						iINe4uig8suLny																									wendy.appleseed@me.com																					wendy.appleseed	2020	25	10GB	10											
What is a Secure Note?	\nSecure Notes enable you to keep any information in freeform text format while keeping it safely encrypted along with the rest of your 1Password data. \n\nJust like the website passwords and credit card numbers you can store in 1Password, you (or someone else!) cannot get to your Secure Notes without entering your keychain’s Master Password. \n\nThis provides encrypted storage for your stuff that doesn’t fit into other areas of 1Password.\n		SL5	2e5ebe24																																																																			
Business			SL5	99e0f1f7					WendyAppleseed							What's your favorite application?	Appleseed	L4G8A3	19	AgileBits	Wendy	6	ca	female	5-150 Hollidge Blvd	(555) 555-1234		Aurora	Manager	Ontario	Customer Relations	Customer Care	(555) 555-5678	1981	support@agilebits		Suite 150	(555) 555-5678	1Password													www.agilebits.com									1Password — Never forget your password again.										
1Password	This is a sample software license.\n\n1Password securely keeps track of online logins, generates strong passwords, enters personal and credit card information with one click, protects from fishing attacks, and more!\n		SL3	7ff8859f																																																										AgileBits	Wendy Appleseed	http://1password.com	wendy@appleseed.com	http://agilebits.com/downloads	3.0	support@agilebits.com	1PW3-0000-000000-0000	1Password	
TextExpander	This is a sample software license.\n\nTextExpander saves you countless keystrokes with customized abbreviations for your frequently-used text strings and images.		SL3	f40ffacd																																																										Smile On My Mac, LLC	Wendy Appleseed	www.smileonmymac.com	wendy@appleseed.com	www.smileonmymac.com/TextExpander/download.html	1.3	support@smileonmymac.com	TEXTEXP001-1234-ABCD-5678-EFGH		29.95
